trip_duration,trip_distance,census_tract_start,census_tract_end,cost,start_zip,end_zip,ending cordinates,starting cordinates,cnt,startLat,startLon,endLat,endLon
3498,9999,48453001305,48453001305,9.745,78704,78704,30.2280314 -97.7734004,30.2280314 -97.7734004,0,30.2280314,-97.7734004,30.2280314,-97.7734004
2506,9999,48453001303,48453001100,7.265,78704,78767,30.2672955 -97.739870375,30.2280314 -97.7734004,1,30.2280314,-97.7734004,30.2672955,-97.739870375
2506,9999,48453001303,48453001100,7.265,78704,78768,30.326374 -97.771258,30.2280314 -97.7734004,2,30.2280314,-97.7734004,30.326374,-97.771258
2506,9999,48453001303,48453001100,7.265,78704,78701,30.2711915 -97.734353,30.2280314 -97.7734004,3,30.2280314,-97.7734004,30.2711915,-97.734353
2506,9999,48453001303,48453001100,7.265,78704,78703,30.272052 -97.7623871,30.2280314 -97.7734004,4,30.2280314,-97.7734004,30.272052,-97.7623871
1926,9999,48453001100,48453001305,5.815,78701,78704,30.2280314 -97.7734004,30.2711915 -97.734353,5,30.2711915,-97.734353,30.2280314,-97.7734004
1926,9999,48453001100,48453001305,5.815,78703,78704,30.2280314 -97.7734004,30.272052 -97.7623871,6,30.272052,-97.7623871,30.2280314,-97.7734004
1926,9999,48453001100,48453001305,5.815,78767,78704,30.2280314 -97.7734004,30.2672955 -97.739870375,7,30.2672955,-97.739870375,30.2280314,-97.7734004
1926,9999,48453001100,48453001305,5.815,78768,78704,30.2280314 -97.7734004,30.326374 -97.771258,8,30.326374,-97.771258,30.2280314,-97.7734004
1907,9999,48453001100,48453002107,5.7675,78701,78723,30.2511699 -97.6849495,30.2711915 -97.734353,9,30.2711915,-97.734353,30.2511699,-97.6849495
