trip_distance,census_tract_start,census_tract_end,cost,start_zip,end_zip,start_lat,start_lon,end_lat,end_lon
149733,48453001100,48453001100,2.305,78701,78701,30.2711915,"-97.734353",30.2804656,-97.7500876
147820,48453001100,48453001100,14.5275,78701,78701,30.2711915,"-97.734353",30.2804656,-97.7500876
148459,48453000604,48453001100,1.735,78705,78701,30.2882716,"-97.7274039",30.2804656,-97.7500876
148853,48453001100,48453001303,6.235,78701,78704,30.2711915,"-97.734353",30.2280314,-97.7734004
148369,48453001200,48453001305,14.535,78703,78704,30.272052,"-97.7623871",30.2280314,-97.7734004
147829,48453001303,48453001303,2.33,78704,78704,30.2280314,"-97.7734004",30.2280314,-97.7734004
148171,48453002403,48453001308,7.98,78745,78704,30.2179687,"-97.7641696",30.2280314,-97.7274039
149297,48453000601,48453000601,1.4925,78705,78705,30.2882716,"-97.7274039",30.2882716,-97.7274039
148880,48453000302,48453000601,1.59,78751,78705,30.2711286,"-97.7436995",30.2882716,-98.12043146
147591,48453000902,48209010906,10.36,78702,78676,30.2784599,"-97.7187995",30.01169494,-97.718799
